kdgrade;nmgrade;golongan;bobot1;bobot2;keterangan;input_date;input_by;update_date;update_by;kdlvl;kdlvlgpmin;kdlvlgpmax
2B    ;GOLONGAN IIB;;12;12;GOLONGAN IIB;2015-12-11 09:16:23;12345               ;;;F     ;;
2C    ;GOLONGAN IIC;;0;0;"";2015-12-10 16:41:04;12345               ;2016-04-06 08:54:19;12345       ;      ;;
2A    ;GOLONGAN IIA;;12;12;GOLONGAN IIA;2016-04-06 08:54:41;12345               ;;;      ;;
3A    ;GOLONGAN IIIA;;0;0;"";2015-12-10 16:40:47;12345               ;2016-04-06 08:55:03;12345       ;      ;;
3B    ;GOLONGAN IIIB;;0;0;"";2015-12-10 16:40:34;12345               ;2016-04-06 08:55:23;12345       ;      ;;
5A    ;GOLONGAN VA;DIR   ;0;0;"";2015-12-10 16:32:20;12345               ;2016-04-06 08:57:24;12345       ;      ;;
4B    ;GOLONGAN IVB;MGR   ;0;0;"";2015-12-10 16:38:45;12345               ;2016-04-06 08:55:34;12345       ;      ;;
4A    ;GOLONGAN IVA;MGR   ;12;12;"";2016-04-06 08:55:49;12345               ;;;      ;;
4C    ;GOLONGAN IVC;MGR   ;0;0;"";2015-12-10 16:36:06;12345               ;2016-04-06 08:56:08;12345       ;      ;;
4D    ;GOLONGAN IVD;MGR   ;0;0;"";2015-12-10 16:35:30;12345               ;2016-04-06 08:57:11;12345       ;      ;;
1C    ;GOLONGAN IC;ADM   ;12;12;GOLONGAN IC;2016-04-06 08:53:33;12345               ;;;      ;;
1D    ;GOLONGAN ID;ADM   ;12;12;GOLONGAN ID;2016-04-06 08:53:56;12345               ;;;      ;;
7D    ;GOLONGAN VIID;;11;15;ABCD;2017-02-10 17:46:40;0912.082            ;2017-02-10 17:47:17;0912.082    ;      ;;
1X    ;GOLONGAN PUTIH;;1;2;TEST;2019-05-02 11:45:50;1115.184            ;;;      ;;7           
1A    ;GOLONGAN IA;ADM   ;12;12;GOLONGAN 1A;2016-04-06 08:52:01;12345               ;2019-05-03 14:57:11;1115.184;A     ;01          ;07          
1B    ;GOLONGAN IIIIB;ADM   ;12;12;GOLONGAN IB;2016-04-06 08:52:46;12345               ;2019-05-03 21:39:50;1115.184;E     ;15          ;20          
